立案時間,派工項目,案件地址,經緯度,longitude,latitude
2016-03-01 00:16,道路散落物,大安區,"(25.0261583, 121.5427093)",25.0261583, 121.5427093
2016-03-01 02:31,鄰里無主垃圾清運,中山區伊通街,"(25.0514006, 121.534785)",25.0514006, 121.534785
2016-03-01 05:28,路燈故障或設施損壞,內湖區金龍路222巷,"(25.0880452, 121.5858684)",25.0880452, 121.5858684
2016-03-01 06:35,交通號誌異常,萬華區,"(25.0262857, 121.4970294)",25.0262857, 121.4970294
2016-03-01 06:51,鄰里無主垃圾清運,大同區長安西路172巷,"(25.0506731, 121.5159981)",25.0506731, 121.5159981
2016-03-01 07:49,鄰里無主垃圾清運,文山區興隆路四段74巷,"(24.9839272, 121.561188)",24.9839272, 121.561188
2016-03-01 07:51,交通號誌異常,松山區民權東路五段,"(25.0632821, 121.5658994)",25.0632821, 121.5658994
2016-03-01 08:16,交通號誌異常,大同區,"(25.0627243, 121.5113064)",25.0627243, 121.5113064
2016-03-01 08:19,雨水下水道側溝清淤,士林區通河東街一段124巷,"(25.086596, 121.5163272)",25.086596, 121.5163272
2016-03-01 08:20,交通號誌異常,大安區新生南路三段,"(25.0211933, 121.5341615)",25.0211933, 121.5341615
2016-03-01 08:39,鄰里無主垃圾清運,中山區一江街,"(25.05263, 121.5315281)",25.05263, 121.5315281
2016-03-01 08:40,路燈故障或設施損壞,中山區,"(25.0792018, 121.5427093)",25.0792018, 121.5427093
2016-03-01 09:20,路燈故障或設施損壞,文山區興隆路二段96巷,"(24.9988591, 121.550318)",24.9988591, 121.550318
2016-03-01 09:17,路燈故障或設施損壞,中山區新生北路三段,"(25.0666887, 121.5276528)",25.0666887, 121.5276528
2016-03-01 09:20,道路散落物,北投區中央北路四段,"(25.1298722, 121.4715223)",25.1298722, 121.4715223
2016-03-01 09:37,路燈故障或設施損壞,北投區泉源路,"(25.1420304, 121.5175551)",25.1420304, 121.5175551
2016-03-01 09:34,路燈故障或設施損壞,內湖區文湖街21巷,"(25.0889433, 121.5600512)",25.0889433, 121.5600512
2016-03-01 09:36,道路散落物,北投區中央北路四段,"(25.1298722, 121.4715223)",25.1298722, 121.4715223
2016-03-01 09:36,鄰里無主垃圾清運,松山區八德路四段106巷10弄,"(25.0467546, 121.560692)",25.0467546, 121.560692
2016-03-01 09:40,交通號誌異常,信義區,"(25.0287024, 121.5769572)",25.0287024, 121.5769572
2016-03-01 09:58,路燈故障或設施損壞,松山區新中街4巷,"(25.0577224, 121.5616808)",25.0577224, 121.5616808
2016-03-01 09:58,路燈故障或設施損壞,中山區新生北路三段,"(25.0666887, 121.5276528)",25.0666887, 121.5276528
2016-03-01 10:05,交通號誌異常,松山區,"(25.0541591, 121.5638621)",25.0541591, 121.5638621
2016-03-01 10:19,交通號誌異常,士林區,"(25.0950492, 121.5246077)",25.0950492, 121.5246077
2016-03-01 10:44,道路散落物,信義區,"(25.0287024, 121.5769572)",25.0287024, 121.5769572
2016-03-01 10:58,鄰里無主垃圾清運,信義區虎林街164巷60弄,"(25.0384149, 121.573972)",25.0384149, 121.573972
2016-03-01 11:01,道路散落物,內湖區,"(25.0689422, 121.5909027)",25.0689422, 121.5909027
2016-03-01 11:03,路燈故障或設施損壞,內湖區文湖街21巷112弄,"(25.0909505, 121.5603108)",25.0909505, 121.5603108
2016-03-01 11:07,雨水下水道側溝清淤,大同區迪化街二段146巷,"(25.0675666, 121.5094724)",25.0675666, 121.5094724
